# Bremsspannung 1.5 Bremsspannung 2 Bremsspannung 2.5 Bremsspannung 3 Bremsspannung 3.5
# "U_B / V" "U_A / V" "U_B / V" "U_A / V" "U_B / V" "U_A / V" "U_B / V" "U_A / V" "U_B / V" "U_A / V"
25.1 2.3 25.7 2.6 25 0.6 25 0.3 24.8 0
25.2 2.7 25.9 3 25.3 0.8 25.2 0.4 25 0.1
25.4 3 26.1 3.4 25.4 1.1 25.4 0.5 25.2 0.1
25.7 3.5 26.3 3.7 25.6 1.3 25.6 0.7 25.4 0.2
25.9 3.9 26.5 3.7 25.8 1.6 25.8 0.9 25.6 0.3
26.1 4.4 26.7 3.5 26.1 2 26 1.2 25.8 0.4
26.2 4.7 26.9 3.2 26.2 2.2 26.2 1.4 25.9 0.5
26.5 4.7 27.1 2.8 26.4 2.4 26.4 1.5 26.1 0.7
26.6 4.4 27.3 2.4 26.6 2.4 26.6 1.6 26.3 0.8
26.8 4.1 27.5 2 26.8 2.3 26.8 1.5 26.6 0.9
27 3.6 27.7 1.6 27 2.1 27 1.4 26.8 0.9
27.3 3.1 27.9 1.3 27.2 1.9 27.2 1.2 27 0.9
27.5 2.6 28.1 1 27.4 1.6 27.4 1.1 27.2 0.8
27.6 2.1 28.3 0.9 27.6 1.3 27.6 0.9 27.3 0.7
27.8 1.8 28.5 0.8 27.8 1.1 27.8 0.7 27.5 0.6
28 1.6 28.7 0.8 28 0.8 28 0.6 27.7 0.5
28.2 1.4 28.9 0.8 28.2 0.6 28.2 0.4 27.9 0.4
28.4 1.4 29.1 1 28.3 0.5 28.4 0.3 28.1 0.3
28.6 1.5 29.2 1.1 28.6 0.4 28.6 0.3 28.3 0.2
28.8 1.6 29.5 1.4 28.8 0.4 28.8 0.2 28.5 0.2
29 1.8 29.7 1.7 29 0.4 28.9 0.2 28.7 0.1
29.2 2 29.9 2 29.2 0.4 29.1 0.2 28.9 0.1
29.4 2.4 30.1 2.4 29.4 0.5 29.4 0.2 29.1 0.1
29.6 2.7 30.3 2.9 29.6 0.6 29.5 0.2 29.3 0.1
29.8 3.2 30.4 3.5 29.8 0.8 29.8 0.3 29.5 0.1
30 3.6 30.6 4 29.9 1 29.9 0.4 29.7 0.1
30.2 4.2 30.8 4.6 30.1 1.3 30.1 0.6 29.9 0.1
30.4 4.8 31 5.1 30.3 1.7 30.4 0.8 30.1 0.2
30.6 5.4 31.2 5.5 30.6 2.1 30.6 1.1 30.3 0.3
30.8 6.1 31.5 5.6 30.8 2.5 30.7 1.4 30.5 0.4
31 6.6 31.8 5.4 30.9 3 31 1.8 30.7 0.6
31.2 7 31.8 5.1 31.1 3.4 31.2 2.1 30.9 0.8
31.4 7.1 32 4.7 31.3 3.6 31.4 2.3 31.1 1
31.6 6.9 32.2 4.1 31.6 3.7 31.6 2.4 31.4 1.2
31.8 6.5 32.4 3.5 31.8 3.6 31.7 2.3 31.5 1.3
32 5.8 32.7 2.9 32 3.4 32 2.2 31.6 1.4
32.2 5.1 32.8 2.4 32.2 3 32.1 2 31.9 1.3
32.3 4.5 33.1 1.9 32.3 2.6 32.3 1.8 32.1 1.2
32.6 3.8 33.2 1.7 32.6 2.2 32.5 1.5 32.3 1.1
32.8 3.2 33.4 1.5 32.8 1.8 32.7 1.2 32.5 0.9
32.9 2.8 33.6 1.4 33 1.5 33 1 32.7 0.8
33.2 2.5 33.8 1.4 33.2 1.2 33.1 0.8 32.9 0.7
33.4 2.4 34 1.6 33.3 1 33.3 0.6 33.1 0.5
33.6 2.4 34.2 1.8 33.5 0.8 33.5 0.5 33.3 0.4
33.7 2.5 34.4 2.1 33.7 0.7 33.7 0.4 33.5 0.3
34 2.8 34.6 2.6 33.9 0.6 33.9 0.3 33.7 0.3
34.2 3.2 34.8 3 34.2 0.7 34.1 0.3 33.9 0.2
34.4 3.6 35 3.7 34.3 0.8 34.3 0.3 34.1 0.2
34.5 4.1 35.2 4.4 34.5 1 34.6 0.4 34.3 0.1
34.8 4.8 35.4 5.2 34.8 1.2 34.7 0.5 34.5 0.1
35 5.5 35.6 6.1 34.9 1.6 34.9 0.7 34.7 0.2
35.1 6.3 35.8 6.9 35.1 2 35.1 0.9 34.8 0.2
35.3 7.2 36 7.7 35.3 2.5 35.3 1.2 35.1 0.3
35.6 8.1 36.2 8.2 35.5 3 35.5 1.6 35.3 0.5
35.7 9.2 36.4 8.6 35.7 3.7 35.7 2.1 35.5 0.6
35.9 9.9 36.6 8.6 35.9 4.3 35.9 2.5 35.7 0.9
36.2 10.5 36.8 8.4 36.1 4.9 36.2 3 35.9 1.2
36.4 10.8 37 7.8 36.3 5.3 36.3 3.3 36.1 1.5
36.5 10.7 37.2 7.1 36.5 5.5 36.5 3.5 36.3 1.7
36.7 10.4 37.4 6.4 36.7 5.5 36.7 3.5 36.4 1.9
36.9 9.8 37.6 5.6 36.9 5.4 36.9 3.5 36.7 2
37.1 8.9 37.8 4.8 37.1 5 37.1 3.2 36.8 2
37.3 8 38 4.1 37.3 4.5 37.3 3 37.1 2
37.6 7.1 38.2 3.6 37.5 3.9 37.5 2.6 37.3 1.8
37.7 6.3 38.4 3.2 37.7 3.5 37.7 2.2 37.4 1.6
37.9 5.5 38.6 2.9 37.9 2.8 37.9 1.8 37.6 1.4
38.1 5 38.8 2.9 38.1 2.4 38.1 1.5 37.9 1.2
38.3 4.8 39 3 38.3 2 38.3 1.3 38 1
38.5 4.7 39.2 3.3 38.4 1.7 38.5 1 38.3 0.8
38.7 4.8 39.4 3.7 38.6 1.5 38.7 0.8 38.4 0.6
38.9 5.1 39.6 4.4 38.9 1.4 38.9 0.7 38.6 0.5
39.1 5.6 39.8 5.1 39.1 1.4 39.1 0.6 38.9 0.4
39.3 6.2 40 6.1 39.3 1.5 39.3 0.6 39 0.3
39.5 7.1 40.2 7.2 39.4 1.7 39.4 0.7 39.2 0.3
39.7 7.9 40.4 8.3 39.7 2 39.7 0.8 39.4 0.3
40 9.1 40.6 9.8 39.9 2.6 39.9 1.1 39.7 0.3
40.1 10.3 40.8 11.1 40.1 3.1 40.1 1.4 39.8 0.4
40.3 11.1 41 11.2 40.3 4 40.3 1.9 40 0.5
40.5 11.2 41.1 11.3 40.4 4.7 40.5 2.4 40.2 0.7
40.7 11.3 41.3 11.2 40.7 5.8 40.7 3.1 40.4 1
40.9 11.3 41.3 11.2 40.9 6.7 40.9 3.8 40.6 1.4
41.1 11.3 41.3 11.2 41.1 7.6 41.1 4.4 40.8 1.7
41.2 11.3 41.3 11.2 41.2 8.3 41.2 4.9 41 2.2
41.2 11.3 41.3 11.2 41.2 8.3 41.2 4.9 41.2 2.6
