&a / °	I1 / %
0,976	15,7
0,973	15,7
0,970	15,7
0,968	15,7
0,965	15,8
0,962	15,7
0,960	15,8
0,957	15,8
0,954	15,8
0,952	15,8
0,949	15,7
0,946	15,8
0,944	15,8
0,941	15,7
0,938	15,8
0,936	15,8
0,933	15,8
0,930	15,8
0,928	15,8
0,925	15,7
0,922	15,8
0,920	15,8
0,917	15,8
0,914	15,8
0,912	15,8
0,909	15,8
0,906	15,8
0,904	15,8
0,901	15,8
0,898	15,8
0,896	15,8
0,893	15,8
0,890	15,8
0,888	15,8
0,885	15,8
0,882	15,9
0,880	15,9
0,877	15,8
0,874	15,8
0,872	15,8
0,869	15,8
0,866	15,8
0,864	15,9
0,861	15,9
0,858	15,9
0,856	15,9
0,853	15,9
0,850	15,9
0,848	15,9
0,845	15,9
0,842	15,9
0,840	15,9
0,837	15,9
0,834	15,9
0,831	15,9
0,829	15,8
0,826	15,9
0,823	15,9
0,821	15,9
0,818	15,9
0,815	15,9
0,813	15,9
0,810	15,9
0,807	15,9
0,805	15,9
0,802	15,9
0,799	15,9
0,797	15,9
0,794	16,0
0,791	16,0
0,789	16,0
0,786	16,0
0,783	16,0
0,781	15,9
0,778	16,0
0,775	16,0
0,773	16,0
0,770	16,0
0,767	16,0
0,765	16,0
0,762	15,9
0,759	15,9
0,757	15,9
0,754	15,9
0,751	15,9
0,749	16,0
0,746	16,0
0,743	16,0
0,741	16,0
0,738	16,0
0,735	15,9
0,733	16,0
0,730	16,0
0,727	16,0
0,725	16,0
0,722	16,0
0,719	16,0
0,717	16,0
0,714	16,0
0,711	16,1
0,709	16,1
0,706	16,1
0,703	16,1
0,701	16,1
0,698	16,0
0,695	16,0
0,692	16,0
0,690	16,0
0,687	16,0
0,684	16,0
0,682	16,1
0,679	16,1
0,676	16,0
0,674	16,0
0,671	16,1
0,668	16,1
0,666	16,0
0,663	16,0
0,660	16,0
0,658	16,0
0,655	16,0
0,652	16,0
0,650	16,0
0,647	16,0
0,644	16,0
0,642	16,1
0,639	16,0
0,636	16,0
0,634	16,0
0,631	16,0
0,628	16,0
0,626	16,0
0,623	16,0
0,620	16,0
0,618	16,0
0,615	16,0
0,612	16,0
0,610	16,0
0,607	16,0
0,604	16,0
0,602	16,0
0,599	16,1
0,596	16,1
0,594	16,1
0,591	16,1
0,588	16,1
0,586	16,1
0,583	16,1
0,580	16,1
0,578	16,1
0,575	16,1
0,572	16,1
0,570	16,1
0,567	16,1
0,564	16,1
0,561	16,1
0,559	16,1
0,556	16,1
0,553	16,1
0,551	16,1
0,548	16,1
0,545	16,1
0,543	16,1
0,540	16,1
0,537	16,1
0,535	16,1
0,532	16,1
0,529	16,1
0,527	16,1
0,524	16,1
0,521	16,2
0,519	16,1
0,516	16,1
0,513	16,1
0,511	16,1
0,508	16,1
0,505	16,1
0,503	16,2
0,500	16,2
0,497	16,2
0,495	16,2
0,492	16,2
0,489	16,2
0,487	16,2
0,484	16,2
0,481	16,2
0,479	16,2
0,476	16,2
0,473	16,2
0,471	16,2
0,468	16,2
0,465	16,2
0,463	16,2
0,460	16,2
0,457	16,2
0,455	16,2
0,452	16,2
0,449	16,2
0,447	16,2
0,444	16,2
0,441	16,3
0,438	16,2
0,436	16,2
0,433	16,2
0,430	16,2
0,428	16,2
0,425	16,2
0,422	16,2
0,420	16,2
0,417	16,2
0,414	16,3
0,412	16,2
0,409	16,2
0,406	16,2
0,404	16,3
0,401	16,3
0,398	16,3
0,396	16,3
0,393	16,3
0,390	16,3
0,388	16,3
0,385	16,3
0,382	16,3
0,380	16,3
0,377	16,3
0,374	16,3
0,372	16,3
0,369	16,3
0,366	16,3
0,364	16,3
0,361	16,3
0,358	16,3
0,356	16,3
0,353	16,3
0,350	16,3
0,348	16,3
0,345	16,3
0,342	16,3
0,340	16,3
0,337	16,3
0,334	16,3
0,332	16,4
0,329	16,4
0,326	16,4
0,324	16,4
0,321	16,4
0,318	16,4
0,316	16,4
0,313	16,4
0,310	16,4
0,307	16,4
0,305	16,4
0,302	16,4
0,299	16,4
0,297	16,4
0,294	16,4
0,291	16,4
0,289	16,4
0,286	16,4
0,283	16,4
0,281	16,5
0,278	16,4
0,275	16,4
0,273	16,5
0,270	16,5
0,267	16,5
0,265	16,5
0,262	16,5
0,259	16,5
0,257	16,5
0,254	16,5
0,251	16,5
0,249	16,5
0,246	16,5
0,243	16,5
0,241	16,5
0,238	16,5
0,235	16,5
0,233	16,5
0,230	16,5
0,227	16,5
0,225	16,5
0,222	16,5
0,219	16,5
0,217	16,5
0,214	16,5
0,211	16,5
0,209	16,5
0,206	16,5
0,203	16,5
0,201	16,5
0,198	16,5
0,195	16,5
0,193	16,5
0,190	16,5
0,187	16,5
0,184	16,5
0,182	16,5
0,179	16,5
0,176	16,5
0,174	16,5
0,171	16,5
0,168	16,5
0,166	16,5
0,163	16,5
0,160	16,5
0,158	16,5
0,155	16,5
0,152	16,5
0,150	16,5
0,147	16,5
0,144	16,5
0,142	16,5
0,139	16,5
0,136	16,5
0,134	16,5
0,131	16,5
0,128	16,5
0,126	16,5
0,123	16,5
0,120	16,5
0,118	16,5
0,115	16,5
0,112	16,6
0,110	16,6
0,107	16,6
0,104	16,6
0,102	16,6
0,099	16,7
0,096	16,7
0,094	16,7
0,091	16,8
0,088	16,8
0,086	16,8
0,083	16,8
0,080	16,8
0,078	16,8
0,075	16,8
0,072	16,9
0,070	16,9
0,067	16,9
0,064	17,0
0,061	17,1
0,059	17,1
0,056	17,3
0,053	17,4
0,051	17,6
0,048	17,8
0,045	18,0
0,043	18,3
0,040	18,7
0,037	19,0
0,035	19,4
0,032	19,9
0,029	20,4
0,027	20,9
0,024	21,4
0,021	22,1
0,019	23,0
0,016	23,9
0,013	24,8
0,011	25,7
0,008	26,6
0,005	27,8
0,003	28,9
0,000	30,5
-0,003	31,2
-0,005	32,0
-0,008	32,8
-0,011	33,6
-0,013	34,4
-0,016	35,0
-0,019	35,7
-0,021	36,1
-0,024	36,5
-0,027	37,0
-0,029	37,8
-0,032	38,4
-0,035	38,8
-0,037	39,2
-0,040	39,3
-0,043	39,4
-0,045	39,6
-0,048	39,6
-0,051	39,6
-0,053	39,7
-0,056	39,7
-0,059	39,6
-0,061	39,7
-0,064	39,8
-0,067	39,9
-0,070	39,9
-0,072	39,8
-0,075	39,6
-0,078	39,5
-0,080	39,7
-0,083	39,7
-0,086	38,9
-0,088	38,1
-0,091	37,5
-0,094	37,6
-0,096	37,8
-0,099	37,6
-0,102	37,2
-0,104	36,6
-0,107	35,5
-0,110	33,9
-0,112	32,8
-0,115	32,5
-0,118	32,0
-0,120	31,2
-0,123	30,0
-0,126	28,9
-0,128	27,8
-0,131	27,2
-0,134	26,4
-0,136	25,4
-0,139	24,6
-0,142	23,7
-0,144	23,0
-0,147	22,3
-0,150	21,7
-0,152	21,2
-0,155	20,6
-0,158	20,2
-0,160	19,8
-0,163	19,6
-0,166	19,3
-0,168	19,1
-0,171	18,9
-0,174	18,8
-0,176	18,6
-0,179	18,5
-0,182	18,5
-0,184	18,3
-0,187	18,2
-0,190	18,2
-0,193	18,1
-0,195	18,1
-0,198	17,9
-0,201	17,8
-0,203	17,7
