																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.512	15.3		2.512	18.8		2.512	14.4		2.512	14.0		2.512	14.9		2.512	15.2
2.509	15.3		2.509	18.8		2.509	14.4		2.509	14.0		2.509	14.9		2.509	15.1
2.506	15.3		2.506	18.8		2.506	14.4		2.506	14.0		2.506	14.9		2.506	15.1
2.504	15.3		2.504	18.8		2.504	14.4		2.504	14.0		2.504	14.9		2.504	15.1
2.501	15.3		2.501	18.8		2.501	14.4		2.501	14.0		2.501	14.9		2.501	15.1
2.498	15.3		2.498	18.8		2.498	14.4		2.498	14.0		2.498	14.9		2.498	15.1
2.496	15.3		2.496	18.8		2.496	14.4		2.496	14.0		2.496	14.9		2.496	15.2
2.493	15.3		2.493	18.8		2.493	14.4		2.493	14.0		2.493	14.9		2.493	15.2
2.490	15.3		2.490	18.7		2.490	14.4		2.490	14.0		2.490	14.9		2.490	15.1
2.488	15.3		2.488	18.7		2.488	14.4		2.488	14.0		2.488	14.9		2.488	15.1
2.485	15.3		2.485	18.7		2.485	14.4		2.485	14.0		2.485	14.9		2.485	15.1
2.482	15.3		2.482	18.7		2.482	14.4		2.482	14.0		2.482	14.9		2.482	15.1
2.480	15.3		2.480	18.7		2.480	14.4		2.480	14.0		2.480	14.9		2.480	15.1
2.477	15.3		2.477	18.7		2.477	14.4		2.477	14.0		2.477	14.9		2.477	15.1
2.474	15.3		2.474	18.7		2.474	14.4		2.474	14.0		2.474	14.9		2.474	15.1
2.472	15.3		2.472	18.7		2.472	14.4		2.472	14.0		2.472	14.9		2.472	15.1
2.469	15.3		2.469	18.7		2.469	14.4		2.469	14.0		2.469	14.9		2.469	15.1
2.466	15.3		2.466	18.7		2.466	14.4		2.466	14.0		2.466	14.9		2.466	15.1
2.464	15.3		2.464	18.7		2.464	14.4		2.464	14.0		2.464	14.9		2.464	15.1
2.461	15.3		2.461	18.7		2.461	14.4		2.461	14.0		2.461	14.9		2.461	15.1
2.458	15.3		2.458	18.7		2.458	14.4		2.458	14.0		2.458	14.9		2.458	15.1
2.456	15.3		2.456	18.8		2.456	14.4		2.456	14.0		2.456	14.9		2.456	15.1
2.453	15.3		2.453	18.8		2.453	14.4		2.453	14.0		2.453	14.9		2.453	15.1
2.450	15.3		2.450	18.8		2.450	14.4		2.450	14.0		2.450	14.9		2.450	15.1
2.448	15.3		2.448	18.8		2.448	14.4		2.448	14.0		2.448	14.9		2.448	15.1
2.445	15.3		2.445	18.7		2.445	14.4		2.445	14.0		2.445	14.9		2.445	15.1
2.442	15.3		2.442	18.7		2.442	14.4		2.442	14.0		2.442	14.9		2.442	15.1
2.440	15.3		2.440	18.7		2.440	14.4		2.440	14.0		2.440	14.9		2.440	15.1
2.437	15.3		2.437	18.8		2.437	14.4		2.437	14.0		2.437	14.9		2.437	15.1
2.434	15.3		2.434	18.8		2.434	14.4		2.434	14.0		2.434	14.9		2.434	15.1
2.432	15.3		2.432	18.8		2.432	14.4		2.432	14.0		2.432	14.9		2.432	15.1
2.429	15.3		2.429	18.8		2.429	14.4		2.429	14.0		2.429	14.9		2.429	15.1
2.426	15.3		2.426	18.8		2.426	14.4		2.426	14.0		2.426	14.9		2.426	15.1
2.424	15.3		2.424	18.8		2.424	14.4		2.424	14.0		2.424	14.9		2.424	15.1
2.421	15.3		2.421	18.8		2.421	14.4		2.421	14.0		2.421	14.9		2.421	15.1
2.418	15.3		2.418	18.8		2.418	14.4		2.418	14.0		2.418	14.9		2.418	15.1
2.416	15.3		2.416	18.8		2.416	14.4		2.416	14.0		2.416	14.9		2.416	15.1
2.413	15.3		2.413	18.8		2.413	14.4		2.413	14.0		2.413	14.9		2.413	15.1
